trip_uuid,Line_Id,source_center,destination_center
trip-153673707846032352,1,IND411033AAA,IND421302AAG
trip-153673708236376897,1,IND421302AAG,IND411033AAA
trip-153673722788901938,1,IND600056AAB,IND600008AAC
trip-153673768655495407,1,IND110092AAC,IND000000ACB
trip-153673772553173607,1,IND636016AAA,IND637211AAA
trip-153673772553173607,2,IND637211AAA,IND636402AAA
trip-153673861738446583,1,IND121004AAB,IND121102AAA
trip-153673870138198614,1,IND734214AAB,IND000000AFF
trip-153673870138198614,2,IND000000AFF,IND734203AAA
trip-153673872111651363,1,IND620020AAA,IND621112AAA
trip-153673890384704429,1,IND201301AAF,IND201304AAA
trip-153673890384704429,2,IND201304AAA,IND201301AAF
trip-153673908248752314,1,IND121004AAB,IND121004AAA
trip-153673946527097571,1,IND122001AAD,IND122050AAA
